talent_id,talent_title,skill
1,Data Scientist1,"['Artificial Intelligence', 'Artificial Neural Networks', 'Business Intelligence', 'Business Intelligence Engineering', 'Data Analysis', 'Data Cleansing', 'Deep Learning', 'Flask', 'Matplotlib', 'Python', 'PyTorch', 'Reinforcement Learning']"
2,Data Scientist2,"['Artificial Neural Networks', 'Business Intelligence', 'Data Analysis', 'Matplotlib']"
3,Data Scientist3,"['Artificial Intelligence', 'Artificial Neural Networks', 'Data Analysis', 'Keras', 'Machine Learning', 'Matplotlib', 'Python', 'PyTorch', 'Scikit-Learn', 'Scipy']"
4,Data Scientist4,"['Business Intelligence', 'Data Analysis', 'Keras', 'Matplotlib', 'Scikit-Learn', 'Scipy']"
5,Data Scientist5,"['Algorithms and Data Structures', 'Data Warehousing', 'Deep Learning', 'Keras', 'Machine Learning', 'Matplotlib', 'Power BI']"
6,Data Scientist6,"['Business Analysis', 'Computer Vision', 'Deep Learning', 'Natural Language Processing (NLP)']"
7,Data Scientist7,"['Artificial Intelligence', 'Artificial Neural Networks', 'Business Intelligence Engineering', 'Data Cleansing', 'Data Warehousing', 'Deep Learning', 'Git', 'Keras', 'Machine Learning', 'Power BI', 'Python', 'Reinforcement Learning', 'Scikit-Learn']"
8,Data Scientist8,"['Artificial Neural Networks', 'Data Warehousing', 'Deep Learning', 'Flask', 'GitHub', 'Keras', 'Natural Language Processing (NLP)', 'Scikit-Learn', 'Tensorflow']"
9,Data Scientist9,"['Data Analysis', 'Data Warehousing', 'Git', 'Natural Language Processing (NLP)']"
10,Data Scientist10,"['Algorithms and Data Structures', 'Artificial Intelligence', 'Business Analysis', 'Computer Vision', 'Data Cleansing', 'Git', 'GitHub', 'Machine Learning', 'Matplotlib', 'Scipy', 'Tensorflow']"
11,Data Scientist11,"['Algorithms and Data Structures', 'Artificial Intelligence', 'Artificial Neural Networks', 'Business Intelligence', 'Data Analysis', 'Git', 'GitHub', 'Machine Learning', 'Power BI', 'Python', 'Scipy']"
12,Data Scientist12,"['Artificial Intelligence', 'Business Intelligence Engineering', 'Data Analysis', 'Data Warehousing', 'Git', 'GitHub', 'Power BI', 'Python', 'PyTorch', 'Scipy']"
13,Data Scientist13,"['Artificial Intelligence', 'Business Intelligence Engineering', 'Computer Vision', 'Data Analysis', 'Data Warehousing', 'Natural Language Processing (NLP)', 'Power BI', 'Scikit-Learn']"
14,Data Scientist14,"['Business Intelligence', 'Data Warehousing']"
15,Data Scientist15,"['Business Analysis', 'Flask', 'PyTorch', 'Tensorflow']"
16,Data Scientist16,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Business Intelligence Engineering', 'Data Warehousing', 'Deep Learning', 'Flask', 'GitHub', 'Power BI', 'Reinforcement Learning']"
17,Data Scientist17,"['Data Cleansing', 'Data Warehousing', 'Matplotlib', 'Natural Language Processing (NLP)', 'Power BI', 'Tensorflow']"
18,Data Scientist18,"['Business Intelligence Engineering', 'Flask', 'Power BI', 'Scipy']"
19,Data Scientist19,"['Artificial Intelligence', 'Artificial Neural Networks', 'Business Intelligence', 'Business Intelligence Engineering', 'Data Warehousing', 'Deep Learning', 'Flask', 'Git', 'Keras', 'Machine Learning']"
20,Data Scientist20,"['Algorithms and Data Structures', 'Business Intelligence Engineering', 'Data Warehousing', 'GitHub', 'Matplotlib', 'Natural Language Processing (NLP)', 'Power BI', 'Python', 'Scipy']"
21,Data Scientist21,"['Business Analysis', 'Data Cleansing', 'Data Warehousing', 'Flask', 'Matplotlib', 'Scipy', 'Tensorflow']"
